iter	Passed	Remaining
0	0	401
1	0	434
2	1	471
3	1	445
4	2	421
5	2	403
6	2	390
7	3	377
8	3	370
9	3	363
10	4	363
11	4	363
12	4	360
13	5	355
14	5	360
15	5	362
16	6	359
17	6	356
18	6	355
19	7	353
20	7	351
21	7	349
22	8	347
23	8	344
24	8	345
25	9	343
26	9	343
27	9	342
28	10	340
29	10	339
30	10	343
31	11	341
32	11	340
33	11	340
34	12	340
35	12	338
36	12	337
37	13	336
38	13	335
39	13	334
40	14	335
41	14	335
42	15	334
43	15	335
44	15	335
45	16	335
46	16	335
47	16	334
48	17	334
49	17	334
50	17	333
51	18	332
52	18	330
53	18	332
54	19	331
55	19	330
56	19	329
57	20	328
58	20	327
59	20	327
60	21	325
61	21	324
62	21	323
63	22	322
64	22	322
65	22	321
66	23	320
67	23	320
68	23	319
69	24	321
70	24	321
71	24	321
72	25	321
73	25	320
74	25	319
75	26	319
76	26	318
77	26	316
78	27	316
79	27	314
80	27	314
81	27	312
82	28	312
83	28	311
84	28	309
85	29	309
86	29	308
87	29	308
88	30	307
89	30	307
90	30	306
91	31	306
92	31	305
93	31	305
94	31	304
95	32	304
96	32	303
97	33	303
98	33	303
99	33	303
100	33	302
101	34	301
102	34	301
103	34	301
104	35	300
105	35	300
106	35	299
107	36	299
108	36	298
109	36	297
110	37	297
111	37	296
112	37	296
113	38	295
114	38	295
115	38	294
116	39	295
117	39	295
118	39	295
119	40	294
120	40	294
121	40	293
122	41	293
123	41	292
124	41	292
125	42	291
126	42	290
127	42	290
128	42	289
129	43	289
130	43	289
131	43	288
132	44	287
133	44	287
134	44	287
135	45	286
136	45	285
137	45	285
138	46	285
139	46	285
140	46	284
141	47	284
142	47	284
143	47	283
144	48	283
145	48	282
146	48	282
147	48	281
148	49	281
149	49	280
150	49	280
151	50	279
152	50	279
153	50	278
154	51	278
155	51	278
156	51	277
157	52	277
158	52	276
159	52	276
160	52	276
161	53	275
162	53	275
163	53	274
164	54	274
165	54	274
166	54	273
167	55	273
168	55	273
169	55	272
170	56	272
171	56	271
172	56	271
173	57	271
174	57	270
175	57	270
176	58	270
177	58	269
178	58	269
179	59	268
180	59	268
181	59	268
182	59	267
183	60	267
184	60	267
185	60	266
186	61	266
187	61	265
188	61	265
189	62	265
190	62	265
191	62	264
192	63	264
193	63	264
194	63	264
195	64	263
196	64	263
197	64	262
198	65	262
199	65	262
200	65	261
201	66	261
202	66	261
203	66	261
204	67	260
205	67	260
206	68	260
207	68	260
208	68	259
209	68	259
210	69	258
211	69	258
212	69	258
213	70	257
214	70	257
215	70	256
216	71	256
217	71	255
218	71	255
219	71	254
220	72	254
221	72	253
222	72	253
223	73	253
224	73	252
225	73	252
226	74	252
227	74	251
228	74	251
229	74	250
230	75	250
231	75	249
232	75	249
233	76	248
234	76	248
235	76	247
236	76	247
237	77	246
238	77	246
239	77	246
240	77	245
241	78	245
242	78	244
243	78	244
244	79	243
245	79	243
246	79	243
247	80	242
248	80	242
249	80	241
250	80	241
251	81	241
252	81	240
253	81	240
254	82	240
255	82	239
256	82	239
257	83	239
258	83	238
259	83	238
260	84	238
261	84	237
262	84	237
263	85	237
264	85	236
265	85	236
266	86	236
267	86	235
268	86	235
269	86	235
270	87	234
271	87	234
272	87	234
273	88	233
274	88	233
275	88	233
276	89	232
277	89	232
278	89	232
279	90	231
280	90	231
281	90	231
282	91	230
283	91	230
284	91	230
285	92	229
286	92	229
287	92	229
288	93	229
289	93	228
290	93	228
291	94	228
292	94	227
293	94	227
294	94	227
295	95	226
296	95	226
297	95	225
298	96	225
299	96	225
300	96	225
301	97	224
302	97	224
303	97	224
304	98	223
305	98	223
306	98	222
307	99	222
308	99	222
309	99	221
310	100	221
311	100	221
312	100	221
313	100	220
314	101	220
315	101	219
316	101	219
317	102	218
318	102	218
319	102	218
320	102	217
321	103	217
322	103	216
323	103	216
324	104	216
325	104	215
326	104	215
327	104	214
328	105	214
329	105	213
330	105	213
331	105	213
332	106	212
333	106	212
334	106	212
335	107	211
336	107	211
337	107	210
338	107	210
339	108	210
340	108	209
341	108	209
342	109	208
343	109	208
344	109	208
345	109	207
346	110	207
347	110	207
348	110	206
349	111	206
350	111	205
351	111	205
352	111	205
353	112	204
354	112	204
355	112	203
356	113	203
357	113	203
358	113	202
359	113	202
360	114	202
361	114	201
362	114	201
363	115	201
364	115	200
365	115	200
366	115	199
367	116	199
368	116	199
369	116	198
370	117	198
371	117	198
372	117	197
373	117	197
374	118	196
375	118	196
376	118	196
377	119	195
378	119	195
379	119	195
380	119	194
381	120	194
382	120	193
383	120	193
384	120	193
385	121	192
386	121	192
387	121	192
388	122	191
389	122	191
390	122	191
391	122	190
392	123	190
393	123	189
394	123	189
395	124	189
396	124	188
397	124	188
398	124	188
399	125	187
400	125	187
401	125	187
402	126	186
403	126	186
404	126	186
405	127	185
406	127	185
407	127	185
408	128	184
409	128	184
410	128	184
411	128	183
412	129	183
413	129	183
414	129	182
415	130	182
416	130	182
417	130	181
418	130	181
419	131	181
420	131	180
421	131	180
422	131	180
423	132	179
424	132	179
425	132	178
426	133	178
427	133	178
428	133	177
429	133	177
430	134	177
431	134	176
432	134	176
433	135	176
434	135	175
435	135	175
436	135	175
437	136	174
438	136	174
439	136	173
440	136	173
441	137	173
442	137	173
443	137	172
444	138	172
445	138	172
446	138	171
447	139	171
448	139	171
449	139	170
450	139	170
451	140	170
452	140	169
453	140	169
454	141	168
455	141	168
456	141	168
457	141	167
458	142	167
459	142	167
460	142	166
461	142	166
462	143	166
463	143	165
464	143	165
465	144	165
466	144	164
467	144	164
468	144	164
469	145	163
470	145	163
471	146	163
472	146	163
473	146	162
474	147	162
475	147	162
476	147	161
477	148	161
478	148	161
479	148	161
480	148	160
481	149	160
482	149	160
483	149	159
484	150	159
485	150	159
486	150	158
487	151	158
488	151	158
489	151	158
490	152	157
491	152	157
492	152	157
493	153	156
494	153	156
495	153	156
496	154	155
497	154	155
498	154	155
499	154	154
500	155	154
501	155	154
502	156	154
503	156	153
504	156	153
505	157	153
